ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,,c5,,,,,,
344,00:28:35,1715.1,422,375,249,325,,,,,,,,,,,
345,00:28:40,1720.1,422,375,249,325,,,,,,,,,,,
346,00:28:45,1725.1,422,375,249,325,,,,,,,,,,,
347,00:28:50,1730.1,422,375,249,325,,,,,,,,,,,
348,00:28:55,1735.1,422,375,249,325,,,,,,,,,,,
349,00:29:00,1740.1,422,375,249,325,,,,,,,,,,,
350,00:29:05,1745.1,422,375,249,325,,,,,,,,,,,
351,00:29:10,1750.1,422,375,249,325,,,,,,,,,,,
352,00:29:15,1755.1,422,375,249,325,,,,,,,,,,,
353,00:29:20,1760.1,422,375,249,325,,,,,,,,,,,
354,00:29:25,1765.1,422,375,249,325,,,,,,,,,,,
355,00:29:30,1770.1,422,375,249,325,,,,,,,,,,,
356,00:29:35,1775.1,422,375,249,325,,,,,,,,,,,
357,00:29:40,1780.1,422,375,249,325,,,,,,,,,,,
358,00:29:45,1785.1,422,375,259,325,,,,,,,,,,,
359,00:29:50,1790.1,422,375,259,325,,,,,,,,,,,
360,00:29:55,1795.1,422,375,259,325,,,,,,,,,,,
361,00:30:00,1800.1,422,375,259,325,,,,,,,,,,,
362,00:30:05,1805.1,422,375,259,325,,,,,,,,,,,
363,00:30:10,1810.1,422,375,259,325,,,,,,,,,,,
364,00:30:15,1815.1,422,375,259,325,,,,,,,,,,,
365,00:30:20,1820.1,422,375,259,325,,,,,,,,,,,
366,00:30:25,1825.1,422,375,259,325,,,,,,,,,,,
367,00:30:30,1830.1,422,375,259,325,,,,,,,,,,,
368,00:30:35,1835.1,422,375,259,325,,,,,,,,,,,
369,00:30:40,1840.1,422,375,259,325,,,,,,,,,,,
370,00:30:45,1845.1,422,375,259,325,,,,,,,,,,,
371,00:30:50,1850.1,422,375,259,325,,,,,,,,,,,
372,00:30:55,1855.1,422,375,259,325,,,,,,,,,,,
373,00:31:00,1860.1,422,375,259,325,,,,,,,,,,,
374,00:31:05,1865.1,422,375,259,325,,,,,,,,,,,
375,00:31:10,1870.1,422,375,259,325,,,,,,,,,,,
376,00:31:15,1875.1,422,375,259,325,,,,,,,,,,,
377,00:31:20,1880.1,422,375,259,325,,,,,,,,,,,
378,00:31:25,1885.1,422,375,259,325,,,,,,,,,,,
379,00:31:30,1890.1,422,375,259,325,,,,,,,,,,,
380,00:31:35,1895.1,422,375,259,325,,,,,,,,,,,
381,00:31:40,1900.1,422,375,259,325,,,,,,,,,,,
382,00:31:45,1905.1,422,375,259,325,,,,,,,,,,,
383,00:31:50,1910.1,422,375,259,325,,,,,,,,,,,
384,00:31:55,1915.1,422,375,259,325,,,,,,,,,,,
385,00:32:00,1920.1,422,375,259,325,,,,,,,,,,,
386,00:32:05,1925.1,422,375,259,325,,,,,,,,,,,
387,00:32:10,1930.1,422,375,259,325,,,,,,,,,,,
388,00:32:15,1935.1,422,375,259,325,,,,,,,,,,,
389,00:32:20,1940.1,422,375,259,325,,,,,,,,,,,
390,00:32:25,1945.1,422,375,259,325,,,,,,,,,,,
391,00:32:30,1950.1,422,375,259,325,,,,,,,,,,,
392,00:32:35,1955.1,422,375,259,325,,,,,,,,,,,
393,00:32:40,1960.1,422,375,259,325,,,,,,,,,,,
394,00:32:45,1965.1,432,375,259,325,,,,,,,,,,,
395,00:32:50,1970.1,432,375,259,325,,,,,,,,,,,
396,00:32:55,1975.1,432,375,259,325,,,,,,,,,,,
397,00:33:00,1980.1,432,375,259,325,,,,,,,,,,,
398,00:33:05,1985.1,432,375,259,325,,,,,,,,,,,
399,00:33:10,1990.1,432,375,259,325,,,,,,,,,,,
400,00:33:15,1995.1,432,375,259,325,,,,,,,,,,,
401,00:33:20,2000.1,432,375,259,325,,,,,,,,,,,
402,00:33:25,2005.1,432,375,259,325,,,,,,,,,,,
403,00:33:30,2010.1,432,375,259,325,,,,,,,,,,,
404,00:33:35,2015.1,432,375,259,325,,,,,,,,,,,
405,00:33:40,2020.1,432,375,259,325,,,,,,,,,,,
406,00:33:45,2025.1,432,375,259,325,,,,,,,,,,,
407,00:33:50,2030.1,432,375,259,325,,,,,,,,,,,
408,00:33:55,2035.1,432,375,259,325,,,,,,,,,,,
409,00:34:00,2040.1,432,375,259,325,,,,,,,,,,,
410,00:34:05,2045.1,432,375,259,325,,,,,,,,,,,
411,00:34:10,2050.1,432,375,259,325,,,,,,,,,,,
412,00:34:15,2055.1,432,375,259,325,,,,,,,,,,,
413,00:34:20,2060.1,432,375,259,325,,,,,,,,,,,
414,00:34:25,2065.1,432,375,259,325,,,,,,,,,,,
415,00:34:30,2070.1,432,375,259,325,,,,,,,,,,,
416,00:34:35,2075.1,432,375,259,325,,,,,,,,,,,
417,00:34:40,2080.1,432,375,259,325,,,,,,,,,,,
418,00:34:45,2085.1,432,375,259,325,,,,,,,,,,,
419,00:34:50,2090.1,432,375,259,325,,,,,,,,,,,
420,00:34:55,2095.1,432,375,259,325,,,,,,,,,,,
421,00:35:00,2100.1,432,375,259,325,,,,,,,,,,,
422,00:35:05,2105.1,432,375,259,325,,,,,,,,,,,
423,00:35:10,2110.1,432,375,259,325,,,,,,,,,,,
424,00:35:15,2115.1,432,375,259,325,,,,,,,,,,,
425,00:35:20,2120.1,432,375,259,325,,,,,,,,,,,
426,00:35:25,2125.1,433,375,259,325,,,,,,,,,,,
427,00:35:30,2130.1,432,375,259,325,,,,,,,,,,,
428,00:35:35,2135.1,432,375,259,325,,,,,,,,,,,
